Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,285,1.697396,0.006019
BAKON_258,228,463.512753,1.701922
BAKON_341,286,80.788348,0.267351
BAKON_465,292,515.941715,1.452355
BAKON_152,290,239.164207,0.707445
BAKON_003,289,244.084455,0.720424
BAKON_357,288,312.954051,0.986945
BAKON_507,289,142.090162,0.457219
BAKON_429,288,182.602735,0.565702
BAKON_393,292,379.259084,1.079537
BAKON_577,285,59.001358,0.195938
BAKON_150,292,241.45137,0.704292
BAKON_423,286,1.858603,0.006541
BAKON_329,286,58.162864,0.195624
BAKON_102,289,138.669453,0.442695
BAKON_413,287,123.112852,0.388747
BAKON_374,293,668.945051,1.857132
BAKON_508,291,163.083966,0.512142
BAKON_605,286,1.858603,0.006541
BAKON_169,286,1.858603,0.006541
BAKON_492,288,120.627139,0.388837
BAKON_183,290,214.822269,0.622807
BAKON_038,231,210.106002,0.87371
BAKON_107,287,163.722524,0.477956
BAKON_189,293,424.631903,1.106356
BAKON_386,292,319.166716,0.963474
BAKON_387,290,237.7956,0.744888
BAKON_526,287,46.21889,0.156503
BAKON_059,294,748.603615,1.995127
BAKON_276,295,752.105621,1.567028
BAKON_379,290,222.401969,0.707234
BAKON_519,288,99.003435,0.325269
BAKON_588,290,224.500783,0.68934
BAKON_473,291,266.932623,0.831849
BAKON_353,293,907.886717,2.43928
BAKON_101,287,137.138088,0.444112
BAKON_475,294,664.65942,1.783272
BAKON_487,286,119.331316,0.390294
BAKON_551,290,541.28432,1.393155
BAKON_021,291,244.928128,0.687343
BAKON_529,287,78.573568,0.260958
BAKON_028,291,217.663902,0.616993
BAKON_097,289,138.669453,0.442695
BAKON_161,290,356.279375,0.992442
BAKON_084,289,279.307726,0.777678
BAKON_544,287,118.136718,0.391005
BAKON_082,294,653.039699,1.53874
BAKON_445,288,149.163912,0.464959
BAKON_083,294,639.623385,1.507984
BAKON_556,289,109.568887,0.360412
BAKON_196,254,499.518247,1.546978
BAKON_319,291,929.149296,2.404315
BAKON_200,295,575.465849,1.392256
BAKON_172,287,60.115597,0.207227
BAKON_527,287,45.983025,0.155829
BAKON_162,289,128.853738,0.399618
BAKON_025,289,280.865248,0.781623
BAKON_077,287,178.174448,0.582933
BAKON_267,290,182.398126,0.539132
BAKON_270,288,108.809033,0.337729
BAKON_594,290,444.837851,1.237985
BAKON_023,291,283.560091,0.778404
BAKON_377,293,643.230473,1.781258
BAKON_489,284,85.141029,0.285997
BAKON_568,290,429.896655,1.218131
BAKON_499,287,263.921334,0.832048
BAKON_400,294,381.243767,1.036435
BAKON_303,292,644.133728,1.717274
BAKON_074,290,423.531564,1.249234
BAKON_050,291,218.722714,0.670664
BAKON_435,290,413.685003,1.215887
BAKON_237,285,274.906733,0.782973
BAKON_338,287,324.997201,0.979728
BAKON_060,284,29.678878,0.104875
BAKON_130,294,592.600113,1.422215
BAKON_264,288,71.177762,0.233107
BAKON_234,294,1491.703313,3.430062
BAKON_085,295,755.240536,1.692572
BAKON_433,293,1545.567786,3.407826
BAKON_344,289,729.466449,1.943325
BAKON_483,292,754.84441,1.975002
BAKON_520,287,68.179281,0.230246
BAKON_437,293,1355.541218,2.985482
BAKON_020,287,201.869303,0.611993
BAKON_292,285,208.0919,0.697647
BAKON_542,291,392.493216,1.064609
BAKON_557,286,47.994719,0.166739
BAKON_320,290,370.674004,1.105159
BAKON_598,277,105.993851,0.377085
BAKON_029,290,216.740389,0.618565
BAKON_211,291,402.783711,1.015063
BAKON_040,287,41.944447,0.142612
BAKON_147,291,386.848274,1.125533
BAKON_157,293,395.387125,1.069522
BAKON_351,283,108.348026,0.371923
BAKON_528,288,46.470114,0.156273
BAKON_055,292,311.753862,0.893327
BAKON_191,292,373.362366,0.979067
BAKON_242,288,233.385288,0.664569
BAKON_272,293,410.821451,1.094592
BAKON_571,293,437.737927,1.214968
BAKON_536,290,200.628287,0.619719
BAKON_253,290,538.550722,1.403502
BAKON_209,295,886.984388,1.851704
BAKON_138,294,584.419472,1.497722
BAKON_254,285,124.761077,0.41187
BAKON_478,295,1175.751166,2.782553
BAKON_141,287,92.1576,0.298683
BAKON_359,288,202.737529,0.658667
BAKON_402,292,343.68515,0.956635
BAKON_133,295,582.575105,1.418276
BAKON_407,288,136.809674,0.421173
BAKON_269,290,246.068872,0.70941
BAKON_328,287,348.576026,0.907857
BAKON_277,292,340.500183,0.956912
BAKON_273,293,411.702184,1.096699
BAKON_226,288,361.063868,1.080452
BAKON_537,290,321.584891,0.866974
BAKON_403,289,305.368745,0.876419
BAKON_553,252,476.8315,1.711465
BAKON_324,288,478.896837,1.20817
BAKON_559,289,322.165658,0.987761
BAKON_530,288,104.817233,0.341936
BAKON_585,288,222.210326,0.692434
BAKON_039,293,311.701501,0.830235
BAKON_455,286,58.615623,0.199363
BAKON_516,289,99.306188,0.323965
BAKON_362,289,203.66832,0.656964
BAKON_125,291,415.499516,1.09896
BAKON_405,291,309.196902,0.875225
BAKON_210,296,1027.916191,2.113137
BAKON_256,293,586.389318,1.466756
BAKON_306,295,727.093361,1.857949
BAKON_213,288,78.198702,0.260014
BAKON_057,290,524.731094,1.476668
BAKON_239,287,438.368402,1.187794
BAKON_454,287,350.563987,0.869605
BAKON_032,292,267.012878,0.728736
BAKON_449,286,120.044618,0.395692
BAKON_522,289,69.542336,0.229576
BAKON_232,292,616.512829,1.563923
BAKON_326,288,351.928317,0.910657
BAKON_127,291,525.487139,1.30935
BAKON_105,284,101.481734,0.339624
BAKON_493,284,33.843934,0.119381
BAKON_464,292,515.941715,1.452355
BAKON_154,293,395.387125,1.069522
BAKON_450,288,509.587806,1.201167
BAKON_383,294,552.261099,1.545235
BAKON_113,283,1.344024,0.004838
BAKON_173,290,612.383118,1.67241
BAKON_301,294,1330.027006,3.228512
BAKON_616,289,115.416183,0.360708
BAKON_199,295,575.465849,1.392256
