Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,293,161.771973,0.464669
BAKON_002,294,199.056466,0.55714
BAKON_003,292,196.097358,0.557321
BAKON_004,293,196.96166,0.555971
BAKON_005,290,123.478437,0.366297
BAKON_006,19,89.57265,7.123146
BAKON_007,296,438.26525,1.048826
BAKON_008,289,426.032534,1.065726
BAKON_009,293,196.96166,0.555971
BAKON_010,8,0,0
BAKON_011,62,154.146878,2.783103
BAKON_563,163,24.424034,0.257779
BAKON_545,291,26.602877,0.090572
BAKON_018,295,299.409311,0.800195
BAKON_320,290,347.122931,1.034082
BAKON_130,297,606.279058,1.330472
BAKON_523,292,42.823904,0.1433
BAKON_547,292,407.386357,1.10783
BAKON_327,292,554.370088,1.474255
BAKON_572,292,474.95149,1.308467
BAKON_253,294,420.085334,1.182975
BAKON_303,289,52.746346,0.182231
BAKON_101,293,122.69974,0.396269
BAKON_080,297,538.424102,1.386012
BAKON_107,294,386.977589,1.067462
BAKON_466,297,744.967776,1.901074
BAKON_036,299,523.165754,1.243173
BAKON_162,293,114.183096,0.355005
BAKON_529,289,51.754001,0.174271
BAKON_319,297,815.304057,1.981374
BAKON_564,291,49.479586,0.16593
BAKON_317,298,819.461615,1.978996
BAKON_372,299,664.090026,1.648179
BAKON_586,296,503.610915,1.204677
BAKON_237,291,380.530042,1.013945
BAKON_039,296,273.757035,0.7283
BAKON_198,292,131.272866,0.42018
BAKON_087,301,674.350815,1.556427
BAKON_571,294,684.293196,1.771665
BAKON_587,297,608.415911,1.375216
BAKON_153,297,295.811708,0.820148
BAKON_522,289,42.16416,0.144122
BAKON_278,295,214.270049,0.61365
BAKON_054,291,85.486346,0.278284
BAKON_404,297,440.996074,1.209847
BAKON_190,298,483.706319,1.24202
BAKON_154,297,350.214794,0.934719
BAKON_287,290,1.964275,0.006811
BAKON_075,295,837.633752,2.168068
BAKON_489,291,256.064409,0.7964
BAKON_254,290,62.334538,0.209214
BAKON_383,298,370.155826,1.076139
BAKON_371,293,342.480063,0.990922
BAKON_568,291,96.333284,0.307159
BAKON_127,297,428.473615,1.119457
BAKON_233,294,308.932928,0.953262
BAKON_353,290,168.778885,0.510765
BAKON_213,296,585.463948,1.587816
BAKON_169,298,560.537992,1.390063
BAKON_309,290,85.604277,0.284386
BAKON_515,295,129.67596,0.406047
BAKON_173,295,452.894065,1.181664
BAKON_248,290,62.16602,0.208725
BAKON_357,290,875.547597,2.543423
BAKON_407,290,114.513282,0.372818
BAKON_055,291,84.780745,0.276435
BAKON_155,296,450.765999,1.174006
BAKON_193,296,388.484129,1.086429
BAKON_025,295,279.954179,0.745928
BAKON_183,294,181.89878,0.53286
BAKON_142,297,559.182223,1.481497
BAKON_020,297,384.841656,0.94724
BAKON_047,293,426.333381,1.229826
BAKON_329,291,134.492672,0.408343
BAKON_533,292,78.010259,0.254188
BAKON_280,293,106.735452,0.333905
BAKON_298,292,375.58302,1.160773
BAKON_203,286,167.937146,0.523151
BAKON_283,297,1300.332285,2.898709
BAKON_105,290,133.097495,0.434346
BAKON_234,296,793.563859,1.883856
BAKON_462,292,575.880921,1.743016
BAKON_435,296,805.106112,2.087052
BAKON_454,293,528.773446,1.198211
BAKON_562,291,49.479586,0.16593
BAKON_049,292,367.797712,1.092599
BAKON_616,289,1.019759,0.00357
BAKON_465,295,653.352645,1.738146
BAKON_534,290,76.945641,0.254418
BAKON_478,303,1904.259825,4.187601
BAKON_526,291,21.14237,0.072027
BAKON_059,294,435.850108,1.148844
BAKON_527,290,20.097531,0.069125
BAKON_277,294,320.36614,0.791984
BAKON_328,293,354.98249,0.978397
BAKON_569,290,1.964275,0.006811
BAKON_567,294,478.481376,1.302993
BAKON_611,291,286.486268,0.869783
BAKON_211,296,581.18105,1.5793
BAKON_147,294,275.975948,0.843789
BAKON_252,294,381.131414,1.107087
BAKON_058,290,29.804018,0.101362
BAKON_398,297,365.109666,1.024835
BAKON_500,284,343.944184,1.084169
BAKON_225,288,0.916425,0.003232
BAKON_126,296,426.031647,1.122189
BAKON_605,293,951.156858,2.497125
BAKON_343,290,54.853202,0.185643
BAKON_037,297,307.99382,0.800455
BAKON_423,289,1.019759,0.00357
BAKON_272,296,216.055743,0.610041
BAKON_414,291,62.586495,0.208226
BAKON_338,295,958.71444,2.328503
BAKON_554,294,434.040159,1.151691
BAKON_269,295,161.438425,0.478422
BAKON_065,289,54.77197,0.185109
BAKON_189,297,527.903511,1.333979
BAKON_516,294,100.604471,0.320721
BAKON_373,297,595.421771,1.498845
BAKON_506,292,139.290591,0.445695
BAKON_279,293,87.514636,0.276983
BAKON_035,297,351.110311,0.896977
BAKON_503,293,139.788843,0.444237
BAKON_351,292,305.215592,0.876989
BAKON_085,296,614.216488,1.473774
BAKON_204,273,675.338324,1.76106
BAKON_133,295,587.589491,1.318034
BAKON_306,296,745.07264,1.960464
BAKON_212,301,2766.594554,3.775912
BAKON_096,297,1107.974299,2.436801
BAKON_111,292,343.859256,0.987577
BAKON_519,293,99.161439,0.319037
BAKON_345,290,54.853202,0.185643
BAKON_374,300,637.433316,1.558387
BAKON_199,297,639.144304,1.498269
BAKON_498,291,115.393107,0.379769
BAKON_200,298,709.960072,1.624134
BAKON_508,296,161.409861,0.496422
BAKON_083,299,656.044933,1.550923
BAKON_034,292,345.439759,0.909287
BAKON_588,297,608.480293,1.375217
BAKON_542,293,222.298957,0.64682
BAKON_057,293,259.926082,0.733455
BAKON_019,295,339.571139,0.885946
BAKON_517,293,99.817265,0.32063
BAKON_038,292,269.539229,0.73532
BAKON_405,289,426.231548,1.231545
BAKON_344,297,1056.086738,2.530089
BAKON_612,291,286.486268,0.869783
BAKON_062,297,530.688555,1.345674
BAKON_264,290,37.623835,0.126149
BAKON_453,289,48.585499,0.168121
BAKON_437,296,1494.379498,3.51046
BAKON_267,293,158.937451,0.478495
BAKON_599,290,1.964275,0.006811
BAKON_188,298,579.919169,1.426567
BAKON_422,295,1497.179026,2.803926
BAKON_337,291,802.260793,2.06668
