Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,287,94.989901,0.315389
BAKON_009,285,323.90107,0.9648
BAKON_266,270,221.081824,0.701266
BAKON_404,289,65.360258,0.216742
BAKON_309,288,89.456135,0.277297
BAKON_341,286,1.799413,0.006358
BAKON_146,287,85.495232,0.288771
BAKON_510,291,149.412436,0.471499
BAKON_466,293,464.080527,1.252844
BAKON_198,290,223.501339,0.60575
BAKON_182,290,512.660803,1.297488
BAKON_320,291,328.72815,0.998248
BAKON_160,292,716.959368,1.657347
BAKON_584,289,70.264017,0.235585
BAKON_102,291,274.228144,0.80528
BAKON_394,290,90.975134,0.295668
BAKON_277,294,354.366867,0.983484
BAKON_395,289,89.672358,0.293985
BAKON_298,287,2.554457,0.008944
BAKON_190,295,368.238518,0.962792
BAKON_052,292,270.879927,0.800828
BAKON_468,290,108.922497,0.341427
BAKON_239,293,1318.386416,2.477767
BAKON_199,295,520.663254,1.239423
BAKON_407,287,28.820141,0.099341
BAKON_531,290,131.799862,0.417021
BAKON_300,287,3.85504,0.01345
BAKON_080,292,373.232088,1.041818
BAKON_126,297,733.109217,1.714031
BAKON_345,287,62.129251,0.213532
BAKON_039,291,195.922038,0.560365
BAKON_284,293,503.755323,1.481736
BAKON_500,291,352.090153,1.055282
BAKON_035,295,337.777671,0.892173
BAKON_445,288,95.15201,0.314183
BAKON_153,294,342.10347,0.907534
BAKON_157,294,374.161586,0.945471
BAKON_521,288,67.853251,0.227821
BAKON_161,293,326.656375,0.85288
BAKON_087,295,597.341639,1.395456
BAKON_538,283,30.31207,0.107413
BAKON_065,288,140.806515,0.454129
BAKON_383,290,292.73197,0.887595
BAKON_008,294,634.801665,1.463707
BAKON_159,294,726.447073,1.652641
BAKON_003,292,371.682837,1.046008
BAKON_338,289,550.065299,1.602101
BAKON_116,286,1.635165,0.005782
BAKON_130,296,833.669954,1.917417
BAKON_125,296,587.03412,1.454863
BAKON_501,292,326.144163,0.970519
BAKON_254,289,56.199947,0.187214
BAKON_571,298,1198.191246,2.02666
BAKON_225,291,607.07774,1.639844
