Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,287,0.834907,0.002987
BAKON_587,286,328.754844,0.901463
BAKON_529,292,27.240361,0.091882
BAKON_520,295,69.150631,0.225276
BAKON_237,297,335.690938,0.848723
BAKON_034,296,232.776689,0.659685
BAKON_254,289,0.815403,0.002877
BAKON_414,282,65.064705,0.230241
BAKON_276,297,595.884121,1.599054
BAKON_081,300,461.63011,1.181805
BAKON_326,297,460.477602,1.184038
BAKON_538,296,86.73801,0.274931
BAKON_079,293,92.703661,0.308983
BAKON_178,298,528.220324,1.360601
BAKON_085,298,525.650614,1.307488
BAKON_181,294,160.183577,0.477984
BAKON_140,298,480.395525,1.321494
BAKON_355,292,182.328262,0.539468
BAKON_196,301,863.438541,1.968321
BAKON_104,297,604.965053,1.692592
BAKON_232,297,858.224071,1.896774
BAKON_239,295,521.182238,1.366681
BAKON_132,295,276.875798,0.788513
BAKON_324,297,363.318435,0.958612
BAKON_141,294,89.360994,0.282823
BAKON_616,296,143.253225,0.433369
BAKON_018,297,287.024931,0.78593
BAKON_183,295,161.742699,0.479026
BAKON_493,295,96.737684,0.316926
BAKON_564,292,30.317949,0.102095
BAKON_225,296,493.302224,1.333908
BAKON_116,292,2.318436,0.007979
BAKON_429,292,68.72443,0.230575
BAKON_125,299,479.915837,1.236262
BAKON_300,294,463.727777,1.394262
BAKON_252,296,439.899231,1.247756
BAKON_560,295,166.525555,0.521522
BAKON_598,292,88.869265,0.268775
BAKON_507,297,118.639493,0.371428
BAKON_023,298,181.155571,0.529484
BAKON_449,293,119.121246,0.39003
BAKON_256,299,398.357308,1.096471
BAKON_443,299,1013.121181,2.481558
BAKON_184,302,755.847608,1.785089
BAKON_284,296,474.721219,1.395571
BAKON_188,304,758.453147,1.72661
BAKON_605,292,2.099125,0.007228
BAKON_260,297,341.431215,0.935869
BAKON_385,298,251.825492,0.754454
BAKON_199,299,458.710154,1.160564
BAKON_303,286,1.209988,0.004356
BAKON_191,295,105.3328,0.33555
BAKON_319,301,1049.773588,2.213768
BAKON_027,293,83.672119,0.263906
BAKON_450,298,939.729216,1.863099
BAKON_146,293,77.733311,0.259194
BAKON_004,295,260.430441,0.774799
BAKON_584,289,64.998422,0.216743
BAKON_058,291,32.543834,0.110316
BAKON_019,293,79.801799,0.266179
BAKON_445,291,1.510009,0.005244
BAKON_517,297,110.755489,0.347134
BAKON_261,292,2.752884,0.009463
BAKON_604,295,631.459197,1.38664
BAKON_053,294,75.519768,0.244842
BAKON_107,298,508.028195,1.45771
BAKON_105,295,157.582874,0.498877
BAKON_203,293,142.788331,0.434938
BAKON_212,299,1719.610854,2.828869
BAKON_506,295,116.277563,0.370052
BAKON_084,301,514.412664,1.270134
BAKON_589,291,65.617113,0.215785
BAKON_013,297,741.944086,1.597139
BAKON_501,297,304.643627,0.896657
BAKON_556,295,136.755241,0.432107
BAKON_047,293,194.942054,0.613455
BAKON_329,292,77.362796,0.25052
BAKON_533,294,84.484825,0.272246
BAKON_172,298,380.241605,0.998859
BAKON_567,299,417.990204,1.14178
BAKON_422,299,1307.704167,3.15362
BAKON_210,301,798.788189,1.714444
BAKON_032,297,203.494323,0.582741
BAKON_570,300,797.063705,1.872759
BAKON_582,295,331.883285,0.821739
BAKON_270,295,115.466981,0.344357
BAKON_499,297,333.860633,0.981133
BAKON_503,294,115.649775,0.370754
BAKON_082,211,358.554428,1.644999
BAKON_320,297,393.869759,1.149602
BAKON_233,294,115.597627,0.356539
BAKON_306,301,882.714811,2.323892
BAKON_531,294,85.332314,0.274387
BAKON_009,289,252.82228,0.783817
BAKON_103,296,480.211384,1.350341
BAKON_208,298,488.42406,1.208342
BAKON_525,295,49.945738,0.162775
BAKON_293,299,2509.783284,5.530589
BAKON_277,296,117.157567,0.355897
BAKON_189,302,705.515351,1.657913
BAKON_478,304,1791.575395,3.799351
BAKON_425,296,666.815585,1.838279
BAKON_049,294,475.246488,1.472107
BAKON_586,296,239.872933,0.636427
BAKON_080,297,375.540177,1.006965
BAKON_522,296,72.868439,0.233277
BAKON_161,296,333.82379,0.930474
BAKON_536,293,189.484623,0.587419
BAKON_345,297,402.089156,1.124758
BAKON_150,298,268.012531,0.751159
BAKON_077,296,264.181337,0.833854
BAKON_327,296,456.503593,1.182813
BAKON_591,295,343.324818,0.889704
BAKON_095,302,1297.729113,3.275826
BAKON_063,298,547.474303,1.26803
BAKON_040,294,69.492571,0.22425
BAKON_258,298,438.731945,1.156988
BAKON_534,291,83.542405,0.274709
BAKON_211,295,219.418998,0.624211
BAKON_130,300,820.182316,1.961937
BAKON_028,295,122.978146,0.371987
BAKON_341,292,2.684888,0.009232
BAKON_159,295,736.328661,1.838863
BAKON_361,291,1100.61017,2.984633
BAKON_171,295,338.856932,0.926052
BAKON_569,300,641.89343,1.55518
BAKON_121,292,109.1311,0.360391
BAKON_344,300,980.942317,2.26787
BAKON_226,298,501.595017,1.336195
BAKON_123,298,336.658538,0.908034
BAKON_610,288,340.411273,1.04666
BAKON_008,299,431.659302,1.094389
BAKON_547,294,60.326621,0.198121
BAKON_559,294,164.443005,0.519896
BAKON_535,295,85.314907,0.272761
BAKON_404,298,355.772794,0.97991
BAKON_117,292,2.752884,0.009463
BAKON_403,298,353.804109,0.975302
BAKON_465,296,495.805066,1.320433
BAKON_065,293,102.257743,0.331136
BAKON_392,296,170.395379,0.513215
BAKON_190,298,689.000696,1.663927
BAKON_516,294,107.847451,0.346134
BAKON_473,302,610.245287,1.537937
BAKON_209,296,636.948725,1.425978
BAKON_248,293,121.993385,0.395233
BAKON_572,303,992.208848,2.010697
BAKON_160,300,757.352898,1.831229
BAKON_374,302,781.108686,1.904876
BAKON_489,295,228.422887,0.724217
BAKON_384,297,293.433908,0.860455
BAKON_571,296,955.612649,2.017733
BAKON_377,299,538.157521,1.478542
BAKON_002,296,261.677608,0.774008
BAKON_338,299,1039.350588,2.351271
BAKON_504,296,117.264266,0.37028
BAKON_272,299,267.791596,0.730475
BAKON_173,297,379.819384,1.003681
BAKON_020,295,111.239622,0.347748
BAKON_351,292,155.331629,0.464402
BAKON_328,292,219.644037,0.632205
BAKON_423,293,2.919096,0.009961
BAKON_111,297,700.699152,2.171332
BAKON_542,296,415.696601,1.161039
BAKON_273,295,259.445316,0.728968
BAKON_312,293,208.286921,0.675443
BAKON_152,298,267.246139,0.749718
BAKON_169,287,0.572126,0.002049
BAKON_455,292,118.81447,0.391832
BAKON_045,294,69.670284,0.22474
BAKON_021,296,140.078913,0.426651
BAKON_174,299,383.267473,0.999086
BAKON_279,291,31.76161,0.107598
BAKON_568,292,90.39355,0.288098
BAKON_526,289,47.68693,0.162287
BAKON_588,293,66.926504,0.216828
BAKON_014,293,85.673681,0.277477
BAKON_353,295,351.350985,0.982512
BAKON_514,296,137.594995,0.42982
BAKON_405,300,359.25548,0.97546
BAKON_267,298,191.869673,0.542848
BAKON_594,294,277.373354,0.754034
BAKON_154,299,396.875159,1.057171
BAKON_039,289,168.235461,0.514492
BAKON_060,292,2.099125,0.007228
BAKON_057,296,353.972872,0.944616
BAKON_487,292,312.101475,0.987969
BAKON_200,296,449.492077,1.161109
BAKON_147,300,359.353679,1.007609
BAKON_054,292,33.801925,0.113489
BAKON_527,288,46.189539,0.158805
BAKON_215,290,46.413014,0.151076
BAKON_398,296,316.105386,0.88554
BAKON_400,301,388.240097,1.037444
BAKON_585,294,149.474071,0.451219
BAKON_204,289,259.477188,0.738966
BAKON_614,296,203.318513,0.607927
BAKON_234,296,622.834709,1.446744
BAKON_498,293,94.471942,0.314442
BAKON_494,292,94.120144,0.315855
BAKON_003,295,260.071118,0.773918
BAKON_554,297,439.519098,1.232319
BAKON_545,286,57.477498,0.199763
BAKON_510,297,138.258434,0.429111
BAKON_500,294,328.131485,0.985141
BAKON_250,297,338.805414,0.989953
BAKON_558,294,164.61655,0.519578
BAKON_153,297,335.929955,0.927135
BAKON_113,293,49.098202,0.164064
BAKON_343,290,47.236803,0.162935
BAKON_022,294,138.498983,0.427813
BAKON_287,293,76.047954,0.250664
BAKON_359,292,418.748562,1.262058
BAKON_025,295,123.247339,0.373017
BAKON_162,296,139.930768,0.417276
BAKON_462,298,387.317208,1.056957
BAKON_399,294,130.794849,0.412129
BAKON_059,298,596.014338,1.370454
BAKON_512,298,139.732175,0.430023
BAKON_553,298,442.365634,1.231267
BAKON_156,297,297.865941,0.829744
BAKON_515,297,138.258434,0.429111
BAKON_466,299,562.261296,1.454732
BAKON_508,297,138.258434,0.429111
BAKON_539,295,86.255762,0.275333
BAKON_470,299,600.712878,1.544117
BAKON_278,294,145.368954,0.438954
BAKON_519,292,106.61594,0.34701
BAKON_205,295,265.891433,0.727251
BAKON_446,297,863.847662,2.217843
BAKON_269,293,185.864284,0.544834
BAKON_036,298,369.32517,1.003739
BAKON_052,294,74.969779,0.243158
BAKON_390,293,130.221745,0.413376
BAKON_437,299,1499.819334,3.441577
BAKON_544,293,164.262693,0.519474
BAKON_611,294,352.316762,1.039853
BAKON_521,294,68.400865,0.224522
BAKON_055,296,136.691601,0.423157
BAKON_282,292,32.529844,0.109264
BAKON_523,295,72.079483,0.232581
BAKON_061,295,178.900296,0.551118
BAKON_373,302,781.108686,1.904876
BAKON_464,299,441.812795,1.175786
BAKON_435,297,455.673955,1.293099
BAKON_301,294,257.56716,0.809489
BAKON_593,296,281.028169,0.753531
BAKON_394,294,168.90774,0.515546
BAKON_126,300,619.995476,1.522777
BAKON_551,293,349.930287,1.043149
BAKON_230,295,474.709142,1.166842
BAKON_281,290,31.299785,0.106848
BAKON_005,292,92.30651,0.295589
BAKON_530,294,57.727823,0.187885
BAKON_599,293,2.919096,0.009961
BAKON_393,297,172.027427,0.514208
BAKON_142,299,462.434682,1.313559
BAKON_524,292,48.127228,0.160537
BAKON_413,293,68.475058,0.224696
BAKON_127,302,666.141665,1.600941
BAKON_029,297,125.464294,0.373868
BAKON_213,294,48.62731,0.153557
BAKON_264,292,38.861385,0.128807
BAKON_266,296,189.39328,0.543546
BAKON_087,303,764.666357,1.786388
BAKON_386,297,250.59406,0.755916
BAKON_387,295,167.935609,0.526273
BAKON_145,293,220.795766,0.695767
BAKON_317,300,1045.501623,2.21758
BAKON_083,300,510.782333,1.270631
BAKON_038,297,210.030406,0.59615
BAKON_407,294,73.650523,0.236756
BAKON_307,299,872.13294,2.328551
BAKON_371,297,393.804174,1.116961
BAKON_402,300,359.25548,0.97546
BAKON_528,291,47.480224,0.159657
BAKON_075,296,644.755701,1.867821
BAKON_379,298,459.966051,1.28494
BAKON_056,295,210.873105,0.635865
BAKON_454,295,121.201614,0.390678
BAKON_280,292,32.935283,0.110573
BAKON_383,293,315.088988,0.957116
BAKON_433,300,1767.16228,3.921569
BAKON_537,292,402.615521,1.155803
BAKON_612,290,342.988672,1.040326
BAKON_006,19,41.757482,3.591415
BAKON_007,34,278.560485,6.021942
BAKON_010,29,144.196253,5.198219
BAKON_011,56,146.62817,2.822589
BAKON_012,56,146.62817,2.822589
BAKON_112,195,29.217352,0.219485
BAKON_037,258,180.304207,0.66671
BAKON_035,277,211.285435,0.67784
BAKON_253,273,439.539932,1.400818
BAKON_471,277,720.284618,2.04253
BAKON_608,271,92.72718,0.35705
BAKON_590,241,0.732842,0.003719
BAKON_337,241,742.000422,2.467839
BAKON_133,180,452.17789,2.530385
BAKON_613,14,55.293112,6.689592
BAKON_592,17,19.797691,2.031782
BAKON_472,28,196.647217,7.283197
BAKON_430,19,98.843884,6.365285
BAKON_401,26,133.40275,6.498477
BAKON_322,15,43.18824,4.385649
BAKON_294,12,16.52418,2.521002
BAKON_283,25,419.100606,16.547203
BAKON_263,24,70.104192,4.060479
BAKON_099,15,72.704709,7.426463
BAKON_015,6,3.799519,1.554734
BAKON_016,3,0,0
BAKON_615,21,26.969691,1.845508
BAKON_597,22,46.600415,2.519035
BAKON_563,23,63.229541,3.774975
BAKON_557,21,24.317358,1.664429
BAKON_442,20,54.92657,3.684812
BAKON_305,17,0,0
BAKON_298,21,66.288326,4.310291
BAKON_275,35,262.735905,7.96356
BAKON_235,31,265.088446,6.958622
BAKON_218,21,44.451987,3.043113
BAKON_198,24,92.450471,4.659681
BAKON_194,27,141.604951,5.6899
BAKON_182,34,200.858558,5.973731
BAKON_177,31,153.388031,5.067739
BAKON_106,24,135.818819,6.852615
BAKON_096,31,301.594758,9.759382
BAKON_064,27,128.478099,5.127728
BAKON_483,29,302.534036,9.410783
BAKON_439,20,41.526558,2.865888
BAKON_432,21,88.154798,5.03211
BAKON_428,20,26.350884,1.829724
BAKON_369,29,244.884293,8.502326
BAKON_363,28,286.459193,9.366279
BAKON_348,21,48.18594,3.227585
BAKON_313,29,201.835142,7.58605
BAKON_265,31,140.82295,5.120678
BAKON_202,22,84.098909,4.749442
BAKON_179,34,226.677022,6.53343
BAKON_165,21,36.129636,2.179386
BAKON_164,24,85.843688,4.275519
BAKON_136,24,75.354713,3.723449
BAKON_108,23,94.170361,5.230145
BAKON_090,25,62.844602,3.141485
BAKON_066,24,81.551898,4.405133
BAKON_575,55,107.746287,2.116369
BAKON_574,55,107.746287,2.116369
BAKON_562,56,132.09251,2.644045
BAKON_550,49,0,0
BAKON_541,64,327.179898,5.150426
BAKON_518,67,178.041342,2.838844
BAKON_513,66,147.551004,2.398249
BAKON_511,65,138.554498,2.295619
BAKON_505,62,119.267535,2.096428
BAKON_492,57,123.432393,2.312345
BAKON_491,59,144.492589,2.595028
BAKON_477,58,226.310847,3.761825
