Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,56,140.681456,2.828648
BAKON_580,55,182.696353,3.472936
BAKON_560,56,68.435912,1.419049
BAKON_548,63,239.129284,3.703902
BAKON_540,65,246.053709,3.887287
BAKON_518,68,175.131809,2.759942
BAKON_513,66,133.319141,2.18206
BAKON_511,65,122.382305,2.042042
BAKON_505,62,100.972619,1.78769
BAKON_504,61,94.181721,1.701642
BAKON_491,63,345.279737,4.785135
BAKON_476,61,236.745282,3.368235
BAKON_472,64,299.211303,3.928441
BAKON_471,64,346.24999,4.496249
BAKON_451,60,844.177373,6.888104
BAKON_446,52,48.810376,1.109387
BAKON_411,54,87.440071,1.660558
BAKON_392,64,270.864477,4.07286
BAKON_391,64,273.885719,4.11802
BAKON_378,60,190.840133,2.97517
BAKON_375,63,236.823161,3.361368
BAKON_371,61,253.618062,3.383216
BAKON_368,53,114.395026,2.083342
BAKON_315,65,502.2153,5.995211
BAKON_310,63,313.18082,4.556224
BAKON_300,52,88.274334,1.875071
BAKON_288,53,116.157267,2.205443
BAKON_280,61,229.941814,3.887784
BAKON_271,61,171.825314,2.795768
BAKON_261,64,293.345997,4.071185
BAKON_255,59,291.415708,4.697952
BAKON_231,58,140.083942,2.406414
BAKON_225,59,221.572231,3.367912
BAKON_220,53,58.552836,1.116825
BAKON_213,56,110.943152,2.033286
BAKON_210,62,484.670632,5.228427
BAKON_171,57,281.633702,4.762449
BAKON_165,55,155.56271,2.792519
BAKON_152,66,338.517509,4.823225
BAKON_139,64,429.135231,5.676474
BAKON_122,61,264.243928,4.334014
BAKON_118,50,0,0
BAKON_114,51,13.055529,0.303867
BAKON_097,52,89.574277,1.885734
BAKON_095,63,271.774049,3.908758
BAKON_094,63,267.333082,3.845325
BAKON_092,56,70.080552,1.312244
BAKON_090,58,86.822197,1.557608
BAKON_073,61,213.688793,3.179588
BAKON_072,62,245.139069,3.576564
BAKON_021,63,367.769306,5.491749
BAKON_002,295,211.800962,0.624067
BAKON_003,293,207.870938,0.623322
BAKON_004,296,213.292166,0.623963
BAKON_005,293,327.3887,0.935246
BAKON_006,23,110.19142,6.760926
BAKON_007,296,492.705495,1.298786
BAKON_008,297,493.129737,1.294192
BAKON_009,292,207.78748,0.627066
BAKON_010,20,67.276505,4.755096
BAKON_011,292,53.513032,0.178337
BAKON_012,34,76.704383,2.807826
BAKON_537,171,143.579179,1.178842
BAKON_298,291,629.607209,1.914003
BAKON_558,295,176.07605,0.543365
BAKON_394,299,428.556514,1.165237
BAKON_586,291,234.703938,0.722413
BAKON_049,295,541.316613,1.613838
BAKON_542,295,213.033124,0.64752
BAKON_359,294,263.748152,0.819929
BAKON_204,294,141.046294,0.403184
BAKON_531,294,115.166173,0.365427
