Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,289,168.388948,0.507825
BAKON_002,289,232.469811,0.681443
BAKON_003,290,233.179013,0.679004
BAKON_004,292,241.563032,0.690343
BAKON_005,290,336.685597,0.876879
BAKON_006,63,229.974509,3.989464
BAKON_007,42,289.086381,6.07528
BAKON_008,292,514.605761,1.303713
BAKON_009,283,174.524194,0.574897
BAKON_010,30,58.671766,2.498994
BAKON_011,286,29.085375,0.100969
BAKON_260,272,509.22855,1.45266
BAKON_413,288,74.67018,0.250432
BAKON_303,293,554.024697,1.42975
BAKON_329,288,106.370865,0.349993
BAKON_145,289,165.888575,0.525702
BAKON_514,291,122.10925,0.39117
BAKON_478,294,797.417577,2.257342
BAKON_190,293,328.073158,0.879664
BAKON_173,287,285.582908,0.835706
BAKON_309,288,67.787194,0.215514
BAKON_156,289,212.260888,0.615047
BAKON_584,291,231.486279,0.68313
BAKON_096,294,681.554553,1.879706
BAKON_394,294,329.780247,0.942068
BAKON_271,292,235.568166,0.646879
BAKON_398,295,485.897493,1.300275
BAKON_282,289,100.969541,0.310645
BAKON_183,292,185.580378,0.542074
BAKON_047,289,196.440883,0.6266
BAKON_479,294,330.979792,0.999036
BAKON_234,293,621.324044,1.5602
BAKON_191,289,49.071054,0.16354
BAKON_423,286,1.77695,0.006278
BAKON_534,291,136.223335,0.426663
BAKON_284,290,140.853425,0.424708
BAKON_075,293,968.036538,2.552614
BAKON_125,295,473.667662,1.226916
BAKON_341,287,58.09132,0.196275
BAKON_037,292,208.176171,0.604145
BAKON_276,296,985.778123,2.402136
BAKON_503,290,101.055142,0.329363
BAKON_032,292,211.926368,0.614596
BAKON_452,291,435.645508,1.032121
BAKON_150,292,193.436645,0.57758
BAKON_154,293,289.462622,0.764611
BAKON_523,288,64.656432,0.216661
BAKON_159,294,579.794934,1.436322
BAKON_083,293,529.987005,1.36578
BAKON_542,288,251.644005,0.737713
BAKON_059,292,501.321206,1.355898
BAKON_379,290,259.692107,0.770779
BAKON_155,293,407.895308,1.037602
BAKON_328,288,108.125631,0.35401
BAKON_111,292,1251.805109,3.504466
BAKON_127,294,670.420975,1.614667
BAKON_123,294,401.876254,1.085723
BAKON_504,291,102.413647,0.330686
BAKON_253,294,473.596741,1.259016
BAKON_571,298,1055.69921,2.303259
BAKON_211,293,680.752605,1.92986
BAKON_317,295,1101.685296,2.68863
BAKON_121,292,350.868606,1.00618
BAKON_021,290,453.912218,1.211332
BAKON_387,288,222.292322,0.676023
