Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,19,29.435478,2.118865
BAKON_615,18,25.326161,1.941262
BAKON_608,17,23.854366,1.588234
BAKON_580,18,44.755446,3.104161
BAKON_540,28,71.348367,3.355153
BAKON_442,17,23.646534,1.775958
BAKON_439,17,58.243481,4.737242
BAKON_410,25,131.189807,6.180224
BAKON_380,22,102.839769,6.142354
BAKON_259,21,98.00928,5.889378
BAKON_214,22,104.514085,6.069136
BAKON_207,21,102.358794,5.452878
BAKON_149,19,79.034553,5.647744
BAKON_137,23,71.629652,3.335118
BAKON_124,27,112.7299,4.529802
BAKON_002,291,278.63548,0.80988
BAKON_003,292,279.057117,0.805637
BAKON_004,289,274.963836,0.809842
BAKON_005,291,372.282355,1.07211
BAKON_006,28,241.583741,9.499925
BAKON_007,64,313.386136,4.532559
BAKON_008,290,584.664196,1.632755
BAKON_009,291,226.287444,0.67517
BAKON_010,14,5.007821,2.197525
BAKON_011,59,120.997402,2.107265
BAKON_012,57,102.252621,1.858557
BAKON_266,224,126.856578,0.632001
BAKON_345,289,360.652126,1.05188
BAKON_464,288,118.337646,0.350782
BAKON_147,291,385.004289,1.110572
BAKON_372,290,697.272734,1.907458
BAKON_506,289,165.958542,0.521154
BAKON_433,293,1217.734055,2.927454
BAKON_394,293,412.397874,1.151891
BAKON_572,295,1515.974027,3.22405
BAKON_146,288,87.697432,0.293744
BAKON_425,290,750.323289,2.158069
BAKON_338,292,975.439335,2.084198
BAKON_098,295,1189.247073,2.561608
BAKON_422,292,1724.447638,3.238626
BAKON_379,289,210.974799,0.647051
BAKON_507,290,167.093452,0.521132
BAKON_604,290,712.996206,1.851676
BAKON_162,290,174.338317,0.531244
BAKON_489,289,353.913666,1.106927
BAKON_183,290,260.590914,0.808242
BAKON_039,228,62.114618,0.307464
BAKON_104,292,623.462765,1.441904
BAKON_191,295,484.923439,1.219628
BAKON_387,289,160.893443,0.5132
BAKON_390,292,311.352707,0.914332
BAKON_525,287,41.012876,0.140026
BAKON_057,291,269.221581,0.736988
BAKON_279,288,63.73638,0.212713
BAKON_384,288,77.103713,0.256179
BAKON_517,288,114.006347,0.371193
BAKON_588,288,124.684468,0.399221
BAKON_468,288,118.337646,0.350782
