Label,betweenesscentrality,degree,bridgingcentrality
BAKON_585,411.07178,303,1.103795
BAKON_327,716.786164,303,1.764627
BAKON_464,271.785112,301,0.763945
BAKON_422,1366.83494,305,2.90769
BAKON_182,421.193088,305,1.073169
BAKON_343,53.817797,296,0.177473
BAKON_211,1490.489901,304,3.246671
BAKON_588,235.324408,300,0.684064
BAKON_535,177.031212,300,0.5239
BAKON_142,684.958244,305,1.816624
BAKON_254,61.984047,297,0.202577
BAKON_020,149.51559,301,0.433798
BAKON_058,103.088699,300,0.31589
BAKON_387,192.734119,302,0.579792
BAKON_594,515.221775,300,1.408509
BAKON_468,120.079106,299,0.363239
BAKON_053,104.136041,301,0.316617
BAKON_300,221.201445,300,0.700683
BAKON_152,230.230205,302,0.655458
BAKON_147,317.562624,302,0.921393
BAKON_154,393.550419,304,0.994429
BAKON_454,58.872131,297,0.191679
BAKON_105,182.344648,300,0.565036
BAKON_501,131.106774,301,0.405472
BAKON_102,831.746238,307,1.684473
BAKON_577,118.570737,301,0.364136
BAKON_277,506.955742,305,1.273963
BAKON_039,207.742111,302,0.586376
BAKON_559,303.349557,303,0.874484
BAKON_492,202.191243,298,0.597765
BAKON_373,538.479708,305,1.275491
BAKON_452,631.412408,303,1.275272
BAKON_383,372.148402,303,1.036456
BAKON_512,143.682794,304,0.430387
BAKON_258,549.546743,306,1.327555
BAKON_309,68.365398,298,0.212101
BAKON_049,438.16988,303,1.249019
BAKON_470,570.745177,305,1.424045
BAKON_014,124.28427,301,0.375021
BAKON_556,316.866096,304,0.836945
BAKON_519,111.961409,303,0.342144
BAKON_329,120.496592,299,0.362442
BAKON_273,587.432602,306,1.392451
BAKON_194,460.694641,305,1.136487
BAKON_061,762.646023,305,1.87972
BAKON_128,289.79822,303,0.784852
BAKON_301,1068.017051,304,2.579655
BAKON_104,1151.750878,307,2.193211
BAKON_405,313.513707,303,0.853632
BAKON_140,684.958244,305,1.816624
BAKON_087,832.94808,310,1.823445
BAKON_537,329.867111,297,0.88634
BAKON_534,175.720177,301,0.517464
BAKON_357,51.734363,300,0.167428
BAKON_252,417.684499,304,1.133479
BAKON_183,175.104052,299,0.509229
BAKON_084,752.210926,308,1.702639
BAKON_378,329.413498,303,0.863003
BAKON_445,3.488829,297,0.011842
BAKON_199,746.360596,306,1.700663
BAKON_498,37.9517,298,0.126439
BAKON_198,94.042672,300,0.286795
BAKON_506,119.532672,302,0.36742
BAKON_344,1374.414927,304,3.501159
BAKON_272,589.645267,306,1.396194
BAKON_524,57.791755,300,0.185618
BAKON_570,835.938074,305,1.962129
BAKON_414,64.614806,300,0.205655
BAKON_435,386.441539,301,1.11762
BAKON_514,143.682794,304,0.430387
BAKON_146,85.519095,301,0.27414
BAKON_018,193.605323,301,0.551618
BAKON_103,640.078284,305,1.652264
BAKON_270,121.699159,295,0.368247
BAKON_052,105.585694,301,0.320677
BAKON_564,75.832083,300,0.243124
BAKON_525,58.046009,301,0.185185
BAKON_545,45.111964,300,0.145861
BAKON_589,155.595915,301,0.464784
BAKON_502,2.750574,295,0.009482
BAKON_080,517.071171,305,1.329242
BAKON_269,409.778342,306,1.020752
BAKON_082,683.677587,306,1.600725
BAKON_188,352.127474,306,0.906988
BAKON_024,1.953831,298,0.006599
BAKON_127,698.772845,307,1.480378
BAKON_449,58.790938,298,0.190257
BAKON_097,246.053306,302,0.696137
BAKON_172,400.362945,303,1.054775
BAKON_359,153.975255,301,0.47877
BAKON_425,583.909252,301,1.646275
BAKON_504,116.654304,300,0.364218
BAKON_225,3.616705,298,0.01219
BAKON_403,490.55986,304,1.278144
BAKON_066,31.662189,300,0.102866
BAKON_477,664.494096,307,1.68403
BAKON_231,132.217673,300,0.409702
BAKON_278,84.636943,299,0.2601
BAKON_433,1257.73783,303,2.976608
BAKON_593,3.291177,298,0.011102
BAKON_184,468.789618,307,1.131351
BAKON_547,42.248576,298,0.138998
BAKON_319,765.936567,306,1.877603
BAKON_133,809.632057,308,1.718174
BAKON_161,346.022249,302,0.901048
BAKON_441,148.708644,274,0.553721
BAKON_394,273.502206,304,0.764348
