Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,291,45.422211,0.151129
BAKON_564,163,46.17682,0.433697
BAKON_542,296,401.843227,1.123287
BAKON_013,293,377.201149,1.05669
BAKON_328,287,58.9842,0.200482
BAKON_132,296,380.110747,0.961644
BAKON_520,293,70.160595,0.231122
BAKON_545,288,67.854319,0.230213
BAKON_337,292,777.064681,1.905532
BAKON_577,290,174.200423,0.54293
BAKON_256,296,523.132927,1.374508
BAKON_312,290,121.553237,0.381002
BAKON_102,298,1042.431575,2.239528
BAKON_080,295,411.346495,1.115996
BAKON_111,291,204.273798,0.693713
BAKON_464,291,216.19681,0.623824
BAKON_034,300,417.201189,1.052355
BAKON_175,292,127.283566,0.425402
BAKON_526,290,48.081003,0.161618
BAKON_327,290,60.200584,0.200422
BAKON_567,295,305.188358,0.802063
BAKON_326,292,197.917779,0.625678
BAKON_377,297,502.854964,1.364518
BAKON_585,293,253.104397,0.743242
BAKON_239,291,205.718978,0.639641
BAKON_038,297,309.319349,0.846639
BAKON_204,298,677.320746,1.629234
BAKON_087,300,606.716587,1.440167
BAKON_572,297,1153.325353,2.531034
BAKON_586,293,291.586926,0.818785
BAKON_156,298,455.957654,1.178654
BAKON_519,291,92.976889,0.307492
BAKON_280,293,167.145045,0.527125
BAKON_052,292,105.241924,0.343644
BAKON_403,296,277.625257,0.759492
BAKON_198,293,141.303636,0.420087
BAKON_160,299,949.350094,2.189001
BAKON_298,290,2.155061,0.007473
BAKON_075,294,1268.079745,3.338171
BAKON_478,297,653.02957,1.805237
BAKON_258,298,573.977929,1.420311
BAKON_386,295,264.876877,0.790552
BAKON_374,298,741.817469,1.832375
BAKON_569,297,574.383394,1.377216
BAKON_130,299,476.543829,1.121893
BAKON_236,293,124.776324,0.409806
BAKON_359,290,186.265135,0.594474
BAKON_226,293,348.629992,0.963048
BAKON_182,300,695.450531,1.640741
BAKON_320,292,167.615979,0.536159
BAKON_510,296,157.611225,0.493013
BAKON_185,297,636.059924,1.584588
BAKON_250,294,333.379402,0.980583
BAKON_371,287,354.571557,1.086379
BAKON_407,291,169.597717,0.513374
BAKON_053,292,104.345789,0.341261
BAKON_161,296,535.802781,1.327348
BAKON_200,292,82.259348,0.263015
BAKON_022,295,268.474285,0.760007
BAKON_191,292,88.140244,0.289581
BAKON_147,298,516.712322,1.361547
BAKON_018,293,161.391361,0.501297
BAKON_040,296,307.553644,0.838701
BAKON_341,290,69.515104,0.228137
BAKON_530,293,107.030854,0.336419
BAKON_284,294,447.014693,1.317162
BAKON_306,296,702.890594,1.746068
BAKON_211,295,1174.983131,2.592689
BAKON_292,291,288.53616,0.959985
BAKON_107,291,564.33055,1.368711
BAKON_237,294,316.58159,0.88185
BAKON_454,293,493.708007,1.140275
BAKON_433,298,1169.265352,2.6835
BAKON_452,295,737.522094,1.604378
BAKON_563,292,88.959747,0.276994
BAKON_047,293,235.407353,0.718571
BAKON_616,291,153.839071,0.478646
BAKON_462,292,600.948945,1.648248
BAKON_531,291,105.57222,0.336638
BAKON_471,300,781.216279,1.883256
BAKON_523,293,72.48344,0.235988
BAKON_057,295,342.819015,0.944293
BAKON_524,291,47.717434,0.159474
BAKON_279,290,37.214828,0.125364
BAKON_338,291,228.36337,0.687394
BAKON_570,298,785.94246,1.793015
BAKON_568,291,86.613739,0.275773
BAKON_611,293,557.65846,1.411775
BAKON_220,291,158.91686,0.512223
BAKON_153,298,499.734687,1.280883
BAKON_254,291,109.866819,0.357097
BAKON_056,292,104.345789,0.341261
BAKON_398,296,306.864917,0.834245
BAKON_498,279,38.824962,0.144418
BAKON_233,291,121.011504,0.403976
BAKON_128,298,473.437048,1.123179
BAKON_605,294,502.337776,1.28193
BAKON_351,289,1.938179,0.006772
BAKON_035,300,417.201189,1.052355
BAKON_422,296,1436.318002,3.046969
BAKON_276,298,671.953144,1.727644
BAKON_413,292,123.108908,0.382916
BAKON_344,296,1439.620597,3.424671
BAKON_553,294,404.371594,1.101212
BAKON_272,297,334.229994,0.90706
BAKON_065,290,87.864401,0.290787
BAKON_196,294,405.799463,1.026864
BAKON_512,296,157.611225,0.493013
BAKON_378,294,363.04417,1.038561
BAKON_501,292,149.153789,0.484748
BAKON_282,291,37.561438,0.125599
BAKON_032,298,385.349305,1.004945
BAKON_500,292,127.200097,0.417544
BAKON_357,295,977.982975,2.527957
BAKON_085,295,542.8662,1.339503
BAKON_212,276,1609.615219,2.362863
BAKON_140,295,781.856351,1.982752
BAKON_314,291,87.1785,0.290064
BAKON_225,289,1.169067,0.004094
BAKON_007,294,445.346439,1.194321
BAKON_096,299,1204.444994,2.903335
BAKON_112,289,1.946109,0.0068
BAKON_515,294,121.756678,0.391167
BAKON_355,294,891.694144,2.353295
BAKON_379,295,324.076603,0.940652
BAKON_002,293,157.05514,0.480694
BAKON_205,298,780.835886,1.829444
BAKON_493,290,41.05181,0.141083
BAKON_209,299,986.910583,2.257037
BAKON_504,295,136.235182,0.43309
BAKON_083,297,559.204464,1.362063
BAKON_028,291,253.873417,0.738525
BAKON_587,294,454.297433,1.189639
BAKON_008,287,431.158607,1.211674
BAKON_538,296,452.348256,1.232594
BAKON_055,293,160.578886,0.502508
BAKON_014,290,46.283672,0.156397
BAKON_514,294,122.456651,0.392796
BAKON_036,297,554.598145,1.36723
BAKON_405,288,269.045341,0.775155
BAKON_353,290,2.155061,0.007473
BAKON_612,292,416.254271,1.20658
BAKON_062,298,923.843296,2.305455
BAKON_267,294,199.733652,0.574921
BAKON_450,294,734.133452,1.608784
BAKON_435,290,518.455264,1.370133
BAKON_270,292,162.179515,0.486095
BAKON_598,292,274.615553,0.837054
BAKON_194,295,427.374168,1.075108
BAKON_421,288,0.959432,0.003385
BAKON_343,287,68.346771,0.229189
BAKON_517,292,93.28481,0.306445
BAKON_423,289,1.169067,0.004094
BAKON_394,288,175.937828,0.548102
BAKON_059,295,474.286512,1.2791
BAKON_141,292,142.186489,0.431756
BAKON_400,296,308.241568,0.836315
BAKON_293,294,1496.458949,2.133534
BAKON_582,292,92.627835,0.296255
BAKON_277,295,246.966464,0.719465
BAKON_103,293,135.126508,0.438999
BAKON_023,288,1.593878,0.005614
BAKON_154,299,613.824684,1.456737
BAKON_557,290,56.585495,0.18319
