Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,289,188.019795,0.534826
BAKON_002,289,233.548588,0.655054
BAKON_003,290,234.193556,0.65261
BAKON_004,292,241.032189,0.659474
BAKON_005,286,86.49739,0.276344
BAKON_006,20,38.187671,2.721991
BAKON_007,292,474.244394,1.297003
BAKON_008,285,463.458418,1.325243
BAKON_009,289,170.533876,0.519235
BAKON_010,16,11.527997,3.760941
BAKON_011,50,111.540799,2.44523
BAKON_269,270,263.302914,0.875723
BAKON_422,294,1962.446071,3.622303
BAKON_317,296,1626.797637,3.877553
BAKON_345,287,88.004264,0.293204
BAKON_140,291,564.001855,1.577443
BAKON_514,290,120.756362,0.387722
BAKON_471,294,633.934318,1.670038
BAKON_191,295,737.034845,1.633785
BAKON_172,290,627.540814,1.602007
BAKON_327,292,454.400153,1.195726
BAKON_154,290,302.057952,0.81496
BAKON_584,291,220.229486,0.614168
BAKON_085,297,691.33403,1.674221
BAKON_402,294,364.059467,0.987854
BAKON_278,296,977.155399,2.061811
BAKON_403,292,322.220746,0.897593
BAKON_301,293,1284.2506,3.0777
BAKON_184,300,943.553767,1.869248
BAKON_047,289,103.163504,0.334827
BAKON_473,294,329.865776,0.928348
BAKON_250,291,259.964324,0.758415
BAKON_196,294,420.643344,1.129843
BAKON_425,290,770.148431,2.21635
BAKON_534,292,194.397614,0.572166
BAKON_303,287,4.177167,0.014557
BAKON_064,292,534.404195,1.499366
BAKON_122,290,170.528911,0.520436
BAKON_353,289,318.443497,0.924707
BAKON_037,292,203.343943,0.581122
BAKON_287,289,75.688451,0.250875
BAKON_503,290,120.37243,0.386757
BAKON_032,292,215.385171,0.612408
BAKON_453,287,54.119936,0.183562
BAKON_145,294,447.821254,1.237976
BAKON_152,292,200.078642,0.584942
BAKON_523,288,72.988359,0.24244
BAKON_156,292,221.811477,0.635105
BAKON_080,290,326.181447,0.934343
BAKON_545,285,109.930266,0.367852
BAKON_059,292,573.085695,1.586361
BAKON_387,288,156.623301,0.509184
BAKON_153,292,270.382602,0.756774
BAKON_344,292,577.05499,1.269268
BAKON_112,290,1274.615251,3.456694
BAKON_125,290,387.728982,1.01093
BAKON_121,290,170.528911,0.520436
BAKON_504,291,121.986894,0.388303
BAKON_258,297,563.775981,1.390445
BAKON_572,289,33.862443,0.113898
BAKON_226,292,603.430412,1.73047
BAKON_329,288,120.732163,0.397455
BAKON_117,286,3.198189,0.011255
BAKON_022,290,326.044746,0.904107
BAKON_395,290,260.737466,0.779687
BAKON_341,284,0.47228,0.001698
BAKON_052,292,240.499713,0.737956
BAKON_386,293,285.743697,0.85327
BAKON_013,292,426.292581,1.204713
BAKON_039,291,138.880212,0.414657
BAKON_113,286,3.198189,0.011255
BAKON_443,291,794.822981,1.755829
BAKON_423,284,1.123624,0.004031
BAKON_570,295,1265.439865,2.465304
BAKON_020,290,285.360653,0.834204
BAKON_075,291,665.817334,1.920111
BAKON_127,296,576.274291,1.352894
BAKON_492,292,723.366582,2.028403
BAKON_101,291,285.157493,0.860806
BAKON_551,295,397.374485,1.092876
BAKON_384,291,137.343724,0.438107
BAKON_557,287,96.726448,0.310803
BAKON_028,290,122.316917,0.391318
BAKON_203,291,255.133126,0.754386
BAKON_466,283,364.143823,1.087277
BAKON_533,292,190.738195,0.564345
BAKON_150,291,200.742541,0.589571
BAKON_248,292,690.957048,1.670841
BAKON_429,286,3.521635,0.012381
BAKON_276,295,779.854622,1.648178
BAKON_232,290,986.377384,2.450546
BAKON_277,291,207.498712,0.627964
BAKON_464,289,53.410728,0.171614
BAKON_394,293,266.736289,0.780139
BAKON_525,289,53.072899,0.175946
BAKON_526,288,49.871879,0.167573
BAKON_377,293,466.772253,1.307714
BAKON_188,299,739.405308,1.559972
BAKON_494,287,44.80581,0.154353
BAKON_040,287,94.619947,0.308777
BAKON_306,294,822.18878,2.04894
BAKON_350,287,217.075107,0.641672
BAKON_530,288,111.258121,0.350778
BAKON_501,293,288.977153,0.864472
BAKON_559,290,237.610438,0.727753
BAKON_585,288,325.09262,0.895244
BAKON_435,287,328.569517,1.053772
BAKON_604,288,511.322133,1.268362
BAKON_107,286,553.763307,1.707918
BAKON_019,291,210.093285,0.625199
BAKON_610,279,193.474425,0.55167
BAKON_569,281,68.928324,0.240427
BAKON_611,288,202.704264,0.545811
BAKON_230,289,100.142032,0.328612
BAKON_470,294,458.125092,1.247622
BAKON_123,287,240.568831,0.72558
BAKON_035,292,247.273364,0.692268
BAKON_036,294,286.920045,0.782148
BAKON_445,285,1.40539,0.005002
BAKON_014,291,128.232455,0.397708
BAKON_147,292,328.056347,0.942949
BAKON_034,287,241.58814,0.699166
BAKON_234,292,626.750296,1.602464
BAKON_506,290,120.756362,0.387722
BAKON_328,289,311.741815,0.877718
BAKON_337,290,885.601481,1.888356
BAKON_142,294,605.254642,1.640733
BAKON_282,288,36.589225,0.123573
BAKON_038,280,161.562672,0.510358
BAKON_359,288,165.058781,0.537775
BAKON_385,291,279.724736,0.850616
BAKON_267,290,152.046838,0.467057
BAKON_500,282,245.002579,0.80798
BAKON_462,280,202.020513,0.654714
BAKON_326,291,447.898593,1.193245
BAKON_266,291,204.090825,0.589741
BAKON_589,289,141.273505,0.45105
BAKON_361,298,2532.558789,5.22801
BAKON_564,289,113.689227,0.366647
BAKON_105,289,290.772371,0.89817
BAKON_063,290,384.602068,1.114956
BAKON_239,289,191.210296,0.583393
BAKON_537,294,294.023325,0.797496
BAKON_605,290,1007.97588,2.307754
BAKON_433,293,1854.123669,4.524348
BAKON_614,289,252.245148,0.651586
BAKON_538,296,369.525814,0.971212
BAKON_182,291,763.074814,1.706559
BAKON_183,292,347.352164,0.921213
BAKON_181,294,447.846542,1.156714
BAKON_508,291,147.475818,0.461744
BAKON_598,287,2.465278,0.008626
BAKON_355,294,908.642187,2.295391
BAKON_515,293,149.509727,0.461055
BAKON_126,293,520.945442,1.267779
BAKON_420,284,0.779257,0.002799
BAKON_599,287,2.465278,0.008626
BAKON_018,292,258.059176,0.724443
BAKON_307,294,822.18878,2.04894
BAKON_498,286,45.462,0.157511
BAKON_300,287,158.536659,0.528573
BAKON_298,284,155.725567,0.531762
BAKON_343,292,576.31484,1.269141
BAKON_209,298,1811.001678,3.837371
BAKON_074,290,663.286055,1.921558
BAKON_588,289,215.051338,0.611433
BAKON_102,293,1014.626518,2.713579
BAKON_116,285,3.983189,0.014082
BAKON_404,292,326.075429,0.904646
BAKON_499,291,258.923709,0.796799
BAKON_454,290,371.521478,0.881331
BAKON_284,290,411.600022,1.016566
BAKON_264,288,89.568105,0.286243
BAKON_237,290,339.891176,0.935789
BAKON_199,296,1247.669172,2.651988
BAKON_577,289,681.754866,1.492892
BAKON_446,290,529.082654,1.152597
BAKON_383,293,338.936865,0.996933
BAKON_273,290,449.747774,1.232949
BAKON_157,292,307.581533,0.815168
BAKON_169,288,86.019751,0.272555
BAKON_189,297,668.613855,1.460727
BAKON_463,290,213.338541,0.64306
BAKON_351,284,166.709339,0.513681
BAKON_465,291,321.91671,0.924574
BAKON_058,290,95.834329,0.31036
BAKON_141,288,46.984007,0.159707
BAKON_413,290,126.599254,0.389472
BAKON_516,290,113.664248,0.365401
BAKON_522,288,73.574984,0.243934
BAKON_374,293,621.958277,1.53971
BAKON_260,294,546.796668,1.38223
BAKON_160,293,582.607851,1.42757
