Label,bridgingcentrality,betweenesscentrality,degree
BAKON_537,14.372727,1464.076934,74
BAKON_501,13.057326,1063.554579,69
BAKON_488,4.64473,362.483886,63
BAKON_483,4.941852,506.661359,67
BAKON_479,1.719332,110.595677,61
BAKON_476,3.327676,330.680133,67
BAKON_475,3.327676,330.680133,67
BAKON_474,3.952696,454.221517,69
BAKON_472,3.327676,330.680133,67
BAKON_471,3.327676,330.680133,67
BAKON_465,5.571143,565.341757,66
BAKON_451,6.90973,608.358499,61
BAKON_441,0,0,57
BAKON_436,4.851327,444,59
BAKON_433,4.851327,444,59
BAKON_427,2.963917,195.685181,59
BAKON_425,5.052771,415.127925,60
BAKON_401,7.755656,684.694368,68
BAKON_394,9.561767,909.103608,70
BAKON_372,11.151815,945.595053,67
BAKON_363,0,0,57
BAKON_358,11.921307,1209.917926,63
BAKON_325,9.89771,1210.448444,67
BAKON_320,3.325867,256.2117,63
BAKON_315,4.963635,501.771659,67
BAKON_313,4.963635,501.771659,67
BAKON_306,5.402472,509.539167,65
BAKON_289,0,0,57
BAKON_278,1.604092,96.280559,60
BAKON_277,3.401862,252.895161,63
BAKON_273,6.843462,832.922672,69
BAKON_272,5.422402,597.646449,68
BAKON_269,3.794606,343.238036,65
BAKON_265,4.189548,340.195694,64
BAKON_234,9.950392,1035.962479,63
BAKON_210,6.137404,492.84526,64
BAKON_208,8.082019,788.071702,66
BAKON_191,14.358093,1119.193379,65
BAKON_174,2.535503,132.137984,58
BAKON_159,11.638271,1155.873915,70
BAKON_143,9.205286,1272.426104,71
BAKON_138,3.824192,312.136874,61
BAKON_117,0,0,57
BAKON_104,6.341046,602.557767,60
BAKON_064,10.290954,1068.514878,69
BAKON_050,3.437169,250.703269,62
BAKON_048,8.542495,988.746488,73
BAKON_029,9.334141,1056.329409,74
BAKON_022,3.981831,285.875204,63
BAKON_020,5.82371,531.738009,67
BAKON_023,1.600397,9.125611,12
BAKON_024,0.295514,1.4609,11
BAKON_025,10.995673,533.66506,37
BAKON_027,1.689176,13.953675,15
BAKON_028,1.689176,13.953675,15
BAKON_030,3.0092,33.268902,18
BAKON_031,3.024576,30.645715,17
BAKON_572,9.296474,236.192648,26
BAKON_544,8.824867,383.762687,34
BAKON_536,10.459553,575.540537,40
BAKON_532,10.892205,540.184681,41
BAKON_422,12.736221,488.670913,29
BAKON_411,6.439072,178.563608,27
BAKON_397,10.86718,529.538202,38
BAKON_387,8.295211,267.396592,29
BAKON_373,9.20566,357.485831,33
BAKON_359,12.112168,374.209497,26
BAKON_323,7.654687,207.52106,26
BAKON_310,12.892742,662.763335,36
BAKON_300,0,0,22
BAKON_232,13.352411,547.321864,28
BAKON_209,9.209494,450.787423,32
BAKON_205,6.904579,273.678441,31
BAKON_189,14.347991,1034.745471,42
BAKON_154,14.16581,648.39621,36
BAKON_112,11.465435,200.861638,23
BAKON_094,14.696915,881.259874,34
BAKON_072,0,0,22
BAKON_049,12.153843,654.441533,38
BAKON_038,11.6101,616.744026,42
BAKON_045,2.267709,10.886623,13
BAKON_046,2.267709,10.886623,13
BAKON_047,1.767355,6.312034,11
BAKON_614,3.26349,88.197593,31
BAKON_610,6.959008,283.184661,34
BAKON_605,7.27686,189.032025,30
BAKON_599,2.966929,72.648425,29
BAKON_542,14.163548,1035.564328,43
BAKON_527,9.314277,484.672525,48
BAKON_515,9.111353,491.195763,48
BAKON_500,8.019208,319.572388,39
BAKON_491,9.843172,525.749867,38
BAKON_489,5.183015,166.908786,33
BAKON_478,13.832656,619.206995,39
BAKON_403,13.621355,764.122865,42
BAKON_386,10.587898,567.140246,39
BAKON_301,0,0,28
BAKON_283,7.43623,299.229311,35
BAKON_275,15.479496,1283.202155,45
BAKON_256,15.963594,726.851247,36
BAKON_235,13.365517,448.72516,32
BAKON_182,12.044223,915.314633,45
BAKON_178,8.62054,537.375154,41
BAKON_151,11.630632,863.890522,46
BAKON_142,9.612126,703.567457,41
BAKON_135,12.040929,499.639159,37
BAKON_107,9.955011,441.27638,31
BAKON_096,12.410809,486.556661,33
BAKON_087,5.763337,178.425582,34
BAKON_081,11.351645,913.150313,44
BAKON_063,13.802356,1063.922078,43
BAKON_051,0.030954,0.1,10
BAKON_054,1.546712,12.448683,14
BAKON_056,1.658369,16.376221,16
BAKON_058,3.708616,55.756285,18
BAKON_060,2.577563,26.450084,15
BAKON_061,2.577563,26.450084,15
BAKON_062,2.577563,26.450084,15
BAKON_066,6.598729,50.882215,10
BAKON_067,5.915058,39.555639,9
BAKON_070,0,0,3
BAKON_075,0,0,10
BAKON_076,0,0,10
BAKON_077,0,0,10
BAKON_078,0,0,10
BAKON_079,0,0,10
BAKON_086,4.626691,40.666214,13
BAKON_088,4.61812,35.483342,12
BAKON_090,3.380416,22.812194,11
BAKON_091,1.796588,10.553975,10
